Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,0.794921,0.796679,0.791015,0.796679,0.544656,204800
1996-01-02,0.794921,0.798828,0.793457,0.793457,0.542453,204800
1996-01-03,0.798828,0.798828,0.798828,0.798828,0.546125,102400
1996-01-04,0.791015,0.794921,0.791015,0.793554,0.542519,307200
1996-01-05,0.784179,0.784179,0.784179,0.784179,0.53611,51200
1996-01-08,0.784179,0.791015,0.785156,0.789062,0.539448,358400
1996-01-09,0.789062,0.78125,0.771484,0.780273,0.53344,870400
1996-01-10,0.780273,0.77539,0.771484,0.773437,0.528766,358400
1996-01-11,0.779296,0.791015,0.773437,0.791015,0.540783,819200
1996-01-12,0.787109,0.787109,0.78125,0.786621,0.537779,358400
1996-01-15,0.776367,0.785156,0.776367,0.777832,0.531771,307200
1996-01-16,0.777832,0.78125,0.71289,0.78125,0.534108,358400
1996-01-17,0.78125,0.783203,0.771484,0.773828,0.529033,768000
1996-01-18,0.773828,0.776367,0.769531,0.776367,0.530769,204800
1996-01-19,0.771484,0.771484,0.768066,0.768554,0.525428,512000
1996-01-22,0.771484,0.776367,0.771484,0.776367,0.530769,204800
1996-01-23,0.767578,0.78125,0.767578,0.773925,0.5291,665600
1996-01-24,0.773925,0.770507,0.752929,0.770507,0.526763,409600
1996-01-25,0.770996,0.770996,0.767578,0.767578,0.524761,102400
1996-01-26,0.767578,0.767578,0.767578,0.767578,0.524761,0
1996-01-29,0.765625,0.765625,0.763183,0.763183,0.521756,102400
1996-01-30,0.763183,0.77539,0.771484,0.77246,0.528098,1433600
1996-01-31,0.77246,0.78125,0.767578,0.78125,0.534108,460800
1996-02-01,0.78125,0.810546,0.78125,0.810546,0.554136,819200
1996-02-02,0.810546,0.839843,0.810546,0.839746,0.574099,2355200
1996-02-05,0.839746,0.841796,0.82041,0.839843,0.574165,819200
1996-02-06,0.839843,0.883789,0.839843,0.859375,0.587518,1382400
1996-02-07,0.859375,0.84375,0.833984,0.836523,0.571895,972800
1996-02-08,0.849609,0.888671,0.849609,0.888671,0.607547,768000
1996-02-09,0.888671,0.927734,0.830078,0.922558,0.630714,1382400
1996-02-12,0.922558,0.935546,0.908203,0.912109,0.62357,819200
1996-02-13,0.9375,0.957031,0.9375,0.957031,0.654282,2048000
1996-02-14,0.957031,1.000976,0.951171,0.993164,0.678984,972800
1996-02-15,0.993164,1.005859,0.957031,1.002539,0.685394,2201600
1996-02-16,1.002539,1.015625,0.965332,1.005371,0.687329,2764800
1996-02-19,1.005371,0.986328,0.982421,0.98457,0.673109,1024000
1996-02-20,0.98457,0.981445,0.96875,0.968945,0.662426,614400
1996-02-21,0.968945,0.968945,0.968945,0.968945,0.662426,0
1996-02-22,0.968945,0.972656,0.96123,0.961425,0.657286,307200
1996-02-23,0.961425,0.970703,0.960937,0.970703,0.663628,153600
1996-02-26,0.970703,0.976562,0.966308,0.976562,0.667634,204800
1996-02-27,0.976562,0.952148,0.927734,0.927734,0.634252,153600
1996-02-28,0.927734,0.929687,0.929687,0.929687,0.635588,51200
1996-02-29,0.929687,0.917968,0.914062,0.916015,0.626241,460800
1996-03-01,0.916015,0.927734,0.898437,0.922851,0.630914,512000
1996-03-04,0.927734,0.9375,0.927734,0.9375,0.640929,153600
1996-03-05,0.9375,0.9375,0.9375,0.9375,0.640929,0
1996-03-06,0.952929,0.952929,0.911132,0.911132,0.622902,204800
1996-03-07,0.911132,0.9375,0.917871,0.9375,0.640929,307200
1996-03-08,0.9375,0.945214,0.929687,0.945214,0.646203,256000
1996-03-11,0.945214,0.9375,0.931738,0.935546,0.639593,153600
1996-03-12,0.935546,0.9375,0.917968,0.9375,0.640929,409600
1996-03-13,0.9375,0.928125,0.915039,0.915039,0.625573,870400
1996-03-14,0.915039,0.9375,0.937011,0.9375,0.640929,307200
1996-03-15,0.9375,0.933691,0.933593,0.933593,0.638258,153600
1996-03-18,0.933593,0.9375,0.933593,0.93496,0.639192,1228800
1996-03-19,0.93496,0.9375,0.927734,0.9375,0.640929,256000
1996-03-20,0.9375,0.9375,0.9375,0.9375,0.640929,0
1996-03-21,0.9375,0.944726,0.93457,0.93457,0.638926,256000
1996-03-22,0.93457,0.951171,0.941503,0.946679,0.647204,768000
1996-03-25,0.946679,0.937304,0.920898,0.935546,0.639593,409600
1996-03-26,0.935546,0.933593,0.923046,0.923046,0.631047,204800
1996-03-27,0.923046,0.9375,0.929687,0.929687,0.635588,716800
1996-03-28,0.929687,0.949316,0.947265,0.949316,0.649007,307200
1996-03-29,0.949316,0.984277,0.957031,0.982324,0.671573,716800
1996-04-01,0.982324,0.982324,0.982324,0.982324,0.671573,0
1996-04-02,0.982324,0.986328,0.974609,0.986328,0.674311,614400
1996-04-03,0.986328,0.990234,0.978515,0.978515,0.668969,512000
1996-04-04,0.978515,0.976562,0.976562,0.976562,0.667634,51200
1996-04-05,0.976562,0.976562,0.976562,0.976562,0.667634,0
1996-04-08,0.976562,0.982226,0.976562,0.982226,0.671506,256000
1996-04-09,0.982226,1.035156,0.988281,1.032226,0.705689,2099200
1996-04-10,1.032226,1.136718,1.084082,1.088867,0.744412,4505600
1996-04-11,1.088867,1.085937,1.064453,1.076171,0.735732,1536000
1996-04-12,1.076171,1.09375,1.07041,1.092578,0.746949,1587200
1996-04-15,1.092578,1.171875,1.09375,1.160156,0.79315,3174400
1996-04-16,1.160156,1.220703,1.152343,1.20664,0.824928,2918400
